"","GeneName"
"772","Wdr70"
"773","Itgb1bp1"
"774","Apip"
"775","Zfp383"
"776","H2afy2"
"777","Txn1"
"778","Pcif1"
"779","Tada1"
"780","Rbmx2"
"781","Pogk"
"782","Trp53rka"
"783","Ing4"
"784","Rab11b"
"785","Gm16133"
"786","Vkorc1"
"787","Lysmd1"
"788","Pdcd6"
"789","Hnrnpk"
"790","Timm9"
"791","Rab33a"
"792","Hist3h2ba"
"793","Slc19a2"
"794","Igsf3"
"795","Tsg101"
"796","Rbm17"
"797","Txndc9"
"798","Sufu"
"799","Akr7a5"
"800","Psmb6"
"801","Pgd"
"802","Nutf2"
"803","Arid4b"
"804","Iqcb1"
"805","Hyou1"
"806","Scrt2"
"807","Frs3"
"808","Ppp2r3c"
"809","Xpa"
"810","Eefsec"
"811","Dusp4"
"812","Tmod1"
"813","Ptma"
"814","Hacl1"
"815","Dis3l2"
"816","1810022K09Rik"
"817","Pcyt1a"
"818","Snw1"
"819","Pak2"
"820","Trappc4"
"821","Klhl7"
"822","Commd7"
"823","Slc25a38"
"824","Igbp1"
"825","Tpmt"
"826","Mospd1"
"827","Dock10"
"828","6430550D23Rik"
"829","Eif6"
"830","Cep104"
"831","Mllt10"
"832","Rab39b"
"833","Prkcz"
"834","Invs"
"835","Rbm48"
"836","Vbp1"
"837","Cxx1a"
"838","Mrpl44"
"839","Smarcc1"
"840","Spag7"
"841","Fkbp4"
"842","Caap1"
"843","Mrps9"
"844","Eif2b3"
"845","Thoc3"
"846","Kdm4a"
"847","Lzts2"
"848","Tmem258"
"849","Rnaseh2b"
"850","Psip1"
"851","Gm16702"
"852","Snapc3"
"853","Synrg"
"854","Dleu7"
"855","Dcaf4"
"856","Gtf2b"
"857","Fancm"
"858","Usp9x"
"859","Wdr61"
"860","Trp53bp2"
"861","Csnk2b"
"862","Ebp"
"863","Adgrv1"
"864","Rbm3"
"865","Nck2"
"866","Gripap1"
"867","Thtpa"
"868","Ube2d3"
"869","Psma4"
