,Acinar,Ductal_term,Ductal_CRISP3,Cancer_A,Ductal_MHCII,Cancer_B,mDCs_A,Ductal_APOL1,Tuft,mDCs_B,pDCs,Endocrine,Endothelial,Macro_A,Mast,Macro_B,T_NK,Mono,RBC,Fibro
229,0.07649183,0.24682298,0.08922481,0.2956432,0.050291706,0.17337652,0.03835665,0.016089806,0.008968444,0.003086216,0.000900593,0.000363669,9.69E-05,0.00018905,5.55E-05,1.11E-05,9.61E-06,8.12E-06,7.01E-06,6.30E-06
230,0.03685958,0.1724115,0.065896094,0.39928952,0.057279862,0.19657734,0.04820275,0.016559206,0.005327679,0.001245757,0.000224647,7.21E-05,1.08E-05,3.48E-05,6.27E-06,5.59E-07,4.91E-07,3.90E-07,3.29E-07,2.85E-07
231,0.0773716,0.096866325,0.23178674,0.19152826,0.23852895,0.0957359,0.042963866,0.017054725,0.005672679,0.001903347,0.000376919,0.000112529,2.96E-05,4.97E-05,1.10E-05,1.83E-06,1.65E-06,1.83E-06,1.35E-06,1.17E-06
232,0.07335135,0.20792839,0.16249345,0.15756565,0.15206999,0.15553756,0.051670324,0.019569708,0.012890344,0.004337685,0.001226856,0.000570413,0.000165695,0.000432181,0.000104556,1.99E-05,1.88E-05,1.83E-05,1.53E-05,1.36E-05
233,0.12793231,0.2556894,0.06661719,0.20197248,0.15373504,0.11967612,0.042764407,0.017229442,0.010172037,0.00251728,0.00104038,0.000342454,6.67E-05,0.000152501,5.97E-05,8.74E-06,7.29E-06,6.08E-06,5.40E-06,5.13E-06
234,0.07575877,0.13535345,0.25346956,0.13644682,0.15224127,0.15913825,0.051035248,0.02044107,0.009967594,0.00429588,0.000903299,0.000389502,0.000139521,0.000293817,6.28E-05,1.40E-05,1.34E-05,1.46E-05,1.13E-05,9.92E-06
235,0.10319453,0.08229372,0.19154666,0.22281665,0.19469385,0.11407086,0.055141337,0.024500802,0.007372614,0.002940724,0.000867068,0.000259576,8.54E-05,0.000139552,4.26E-05,7.91E-06,7.05E-06,8.03E-06,5.87E-06,5.21E-06
236,0.09293509,0.12293779,0.1551932,0.17738892,0.23535353,0.12648089,0.0553743,0.021859786,0.0085389,0.002664983,0.000758551,0.000242129,6.16E-05,0.000147491,3.89E-05,5.63E-06,5.10E-06,5.33E-06,4.17E-06,3.70E-06
237,0.098809235,0.12558179,0.1426698,0.14657122,0.3033325,0.10714071,0.04960017,0.017677872,0.006341236,0.001662525,0.000407464,0.000108648,2.24E-05,5.48E-05,1.32E-05,1.59E-06,1.40E-06,1.40E-06,1.11E-06,9.92E-07
238,0.09693372,0.16053669,0.106051184,0.2406923,0.20803858,0.109140344,0.049642473,0.01922566,0.00706873,0.001750856,0.000592667,0.000173103,3.42E-05,8.25E-05,2.49E-05,3.09E-06,2.66E-06,2.48E-06,2.04E-06,1.85E-06
